,Store,Department,Weekly Sales
0,1,1,23949.13
1,1,2,43997.78
2,1,3,13085.95
3,1,4,36826.52
4,1,5,25508.81
5,1,6,4032.5
6,1,7,21449.85
7,1,8,37204.72
8,1,9,48794.36
9,1,10,26285.27
10,1,11,25063.26
11,1,12,9964.78
12,1,13,36404.7
13,1,14,13634.48
14,1,16,5913.03
15,1,17,9558.5
16,1,18,12033.61
17,1,19,733.78
18,1,20,2690.25
19,1,21,8742.41
20,1,22,7669.83
21,1,23,21318.68
22,1,24,7106.74
23,1,25,11066.13
24,1,26,7490.62
25,1,27,2002.85
26,1,28,788.61
27,1,29,4530.75
28,1,30,2670.86
29,1,31,2063.02
30,1,32,7761.5
31,1,33,6313.48
32,1,34,12121.54
33,1,35,2848.99
34,1,36,1485.91
35,1,37,2361.49
36,1,38,70757.72
37,1,40,61156.64
38,1,41,1260.0
39,1,42,8525.93
40,1,44,5545.99
41,1,46,19041.07
42,1,48,1531.0
43,1,49,15772.53
44,1,52,1703.73
45,1,55,11189.37
46,1,56,882.69
47,1,58,1780.0
48,1,59,785.41
49,1,60,1038.4
50,1,67,6359.63
51,1,71,2418.32
52,1,72,54480.13
53,1,74,10017.61
54,1,79,32163.5
55,1,80,20021.35
56,1,81,32542.87
57,1,82,19702.26
58,1,83,5938.04
59,1,85,3064.26
60,1,87,48022.42
61,1,90,96280.55
62,1,91,74382.83
63,1,92,165633.02
64,1,93,86203.09
65,1,94,59519.38
66,1,95,121030.79
67,1,96,35724.82
68,1,97,30320.41
69,1,98,11544.63
70,1,99,0.05
71,1,1,18689.54
72,1,2,43997.78
73,1,3,13085.95
74,1,4,41305.39
75,1,5,25508.81
76,1,6,4032.5
77,1,7,21449.85
78,1,8,37269.92
79,1,9,37670.13
80,1,10,32794.21
81,1,11,21412.74
82,1,12,12566.45
83,1,13,42304.47
84,1,14,12037.66
85,1,16,6940.47
86,1,17,9558.5
87,1,18,8566.39
88,1,19,733.78
89,1,20,4184.73
90,1,21,8742.41
91,1,22,7821.14
92,1,23,21318.68
93,1,24,7106.74
94,1,25,11066.13
95,1,26,7490.62
96,1,27,1882.59
97,1,28,788.61
98,1,29,4530.75
99,1,30,2520.85
100,1,31,1683.65
101,1,32,7124.84
102,1,33,5622.58
103,1,34,11137.4
104,1,35,2576.34
105,1,36,1485.91
106,1,37,2854.51
107,1,38,84143.04
108,1,40,59729.29
109,1,41,792.5
110,1,42,7989.25
111,1,44,5545.99
112,1,46,17593.42
113,1,48,1531.0
114,1,49,10631.16
115,1,52,1703.73
116,1,55,26520.29
117,1,56,792.42
118,1,58,2900.0
119,1,59,785.41
120,1,60,1038.4
121,1,67,5341.21
122,1,71,2418.32
123,1,72,54480.13
124,1,74,10017.61
125,1,79,47794.94
126,1,80,19943.02
127,1,81,31933.13
128,1,82,20542.29
129,1,83,5938.04
130,1,85,2760.09
131,1,87,61791.29
132,1,90,96280.55
133,1,91,73659.91
134,1,92,165633.02
135,1,93,84183.85
136,1,94,59519.38
137,1,95,121030.79
138,1,96,32427.3
139,1,97,35561.29
140,1,98,13120.2
141,1,99,300.08
142,1,1,19050.66
143,1,2,44481.38
144,1,3,10487.17
145,1,4,37656.58
146,1,5,25508.81
147,1,6,2640.98
148,1,7,21449.85
149,1,8,37269.92
150,1,9,27561.57
151,1,10,32794.21
152,1,11,23541.72
153,1,12,9872.05
154,1,13,37077.82
155,1,14,14863.82
156,1,16,4643.82
157,1,17,9558.5
158,1,18,14159.67
159,1,19,1385.85
160,1,20,4184.73
161,1,21,7820.46
162,1,22,6596.53
163,1,23,19124.1
164,1,24,7106.74
165,1,25,11066.13
166,1,26,7490.62
167,1,27,1707.85
168,1,28,648.03
169,1,29,5275.25
170,1,30,2041.76
171,1,31,1413.51
172,1,32,4502.04
173,1,33,4303.63
174,1,34,9773.47
175,1,35,2605.0
176,1,36,1526.35
177,1,37,3157.52
178,1,38,68481.44
179,1,40,58511.53
180,1,41,792.5
181,1,42,7062.59
182,1,44,5545.99
183,1,46,17753.95
184,1,48,139.0
185,1,49,10631.16
186,1,52,1703.73
187,1,54,15.0
188,1,55,16338.81
189,1,56,792.42
190,1,58,2900.0
191,1,59,797.35
192,1,60,739.2
193,1,67,6359.63
194,1,71,2418.32
195,1,72,42060.48
196,1,74,10745.38
197,1,79,30928.23
198,1,80,19270.99
199,1,81,30244.48
200,1,82,20292.96
201,1,83,5179.11
202,1,85,2963.69
203,1,87,43602.83
204,1,90,95540.57
205,1,91,66433.08
206,1,92,170303.38
207,1,93,87401.82
208,1,94,58927.88
209,1,95,117375.38
210,1,96,32427.3
211,1,97,37047.49
212,1,98,13327.82
213,1,1,20911.25
214,1,2,45817.07
215,1,3,10706.81
216,1,4,46201.27
217,1,5,70158.86
218,1,6,18629.83
219,1,7,72635.06
